Date,InflationRate,USD_PHP,UnemploymentRate,DubaiCrude
1987-05-01,2.2935779530720346,20.47323529,,
1987-06-01,4.6296295720617,20.45640476,,
1987-07-01,6.018518500201453,20.45,,
1987-08-01,6.481481429147018,20.43871429,,
1987-09-01,7.407407357689655,20.60054545,,
1987-10-01,6.912442383025974,20.70622727,,
1987-11-01,7.339449491832495,20.8171,,
1987-12-01,8.256880687061985,20.81475,,
1988-01-01,13.636363604833202,20.84615789,,
1988-02-01,14.027149330328248,20.90295,,
1988-03-01,14.414414463958213,21.02772727,,
1988-04-01,15.384615363368304,21.02955,,
1988-05-01,14.798206289381376,20.95504545,,
1988-06-01,14.159292083203812,20.94872727,,
1988-07-01,13.537117911205332,21.02466667,,
1988-08-01,13.478260881104532,21.05908696,,
1988-09-01,12.931034525288144,21.2485,,
1988-10-01,13.362068976574925,21.36163158,,
1988-11-01,13.247863258453997,21.37705,,
1988-12-01,13.55932207773838,21.356,,
1989-01-01,9.199999997558294,21.34213636,,
1989-02-01,8.730158696034529,21.35745,,
1989-03-01,8.267716530229151,21.33875,,
1989-04-01,8.627451008789656,21.4136,,
1989-05-01,9.374999968331021,21.57963636,,
1989-06-01,10.077519350499164,21.68,,
1989-07-01,10.384615385744134,21.88652381,,
1989-08-01,11.877394644976281,21.88,,
1989-09-01,12.213740435338938,21.96914286,,
1989-10-01,12.92775663722454,21.95890476,,
1989-11-01,12.830188662294951,22.099,,
1989-12-01,13.80597010314688,22.33515789,,
1990-01-01,13.55311356683262,22.46436364,,
1990-02-01,13.868613185031787,22.62445,,
1990-03-01,13.818181804863361,22.75936364,,
1990-04-01,14.079422397787233,22.76088889,,
1990-05-01,13.571428615809268,22.90181818,,
1990-06-01,13.028169029221125,23.10255,,
1990-07-01,13.588850134197106,23.56318182,,
1990-08-01,11.643835600687913,24.4473913,,
1990-09-01,12.244897945412347,25.3519,,
1990-10-01,13.131313149478817,25.75,,
1990-11-01,14.381270925201006,28.0,,
1990-12-01,16.72131150477476,28.0,,
1991-01-01,18.70967742538925,28.0,,
1991-02-01,20.192307678198283,28.0,,
1991-03-01,21.086261998900092,28.0,,
1991-04-01,20.569620240327048,27.92614286,,
1991-05-01,20.75471694491342,27.81859091,,
1991-06-01,20.560747679546566,27.7955,,
1991-07-01,19.9386503486783,27.621,,
1991-08-01,21.165644170917574,27.1995,,
1991-09-01,20.90909090740929,26.98342857,,
1991-10-01,19.04761906275867,26.9946087,,
1991-11-01,17.25146197525673,26.7366,,
1991-12-01,13.202247166326453,26.66826316,,
1992-01-01,10.869565207474707,26.54463636,,15.21913043
1992-02-01,9.066666653644173,26.158,,15.7225
1992-03-01,8.70712401671614,25.81018182,,15.75409091
1992-04-01,8.398950116410319,25.66715789,,16.63772727
1992-05-01,8.85416669481689,26.14955556,,17.58714286
1992-06-01,8.785529702312122,26.12052632,,19.01090909
1992-07-01,8.951406617274383,25.26163636,,18.49391304
1992-08-01,8.35443038786503,24.66914286,,17.80380952
1992-09-01,8.020050151386716,24.726,,18.38
1992-10-01,7.999999986265349,24.78486364,,18.13681818
1992-11-01,7.98004990112573,24.93605263,,17.13714286
1992-12-01,7.44416875845233,25.32210526,,16.22478261
1993-01-01,7.352941161069038,25.28005,,15.32047619
1993-02-01,7.334963348446544,25.31163158,,16.046
1993-03-01,6.796116487952353,25.3656087,,16.31434783
1993-04-01,6.779661038242901,26.078,,16.38863636
1993-05-01,5.980861243233071,27.00642857,,16.11904762
1993-06-01,6.175771954276121,27.20633333,,15.64318182
1993-07-01,6.103286404654118,27.56877273,,14.20863636
1993-08-01,6.308411217369203,27.94886364,,14.64772727
1993-09-01,6.728538285609376,28.23372727,,14.12818182
1993-10-01,6.944444466523048,29.16,,14.75142857
1993-11-01,6.928406452024349,28.48489474,,13.78681818
1993-12-01,7.390300217842238,27.7939,,12.21956522
1994-01-01,12.785388133104014,27.72452381,,13.08142857
1994-02-01,13.895216389825183,27.64626316,,12.7525
1994-03-01,13.409090898922326,27.58722727,,12.07608696
1994-04-01,13.605442147680268,27.52975,,13.75047619
1994-05-01,13.544018029452198,27.053,,14.79136364
1994-06-01,12.975391506824586,26.97557143,,15.68863636
1994-07-01,12.610619456701677,26.4607619,,16.39761905
1994-08-01,12.527472550618857,26.31321739,,15.92913043
1994-09-01,11.739130436657753,25.91127273,,15.24772727
1994-10-01,11.255411255840242,25.39445,,15.37142857
1994-11-01,11.015118808507584,24.2648,,15.92090909
1994-12-01,10.752688172748792,24.145,,15.455
1995-01-01,6.072874481795387,24.62227273,,16.01136364
1995-02-01,5.59999998657057,25.02815789,,16.553
1995-03-01,6.012024067401867,25.85895652,,16.32782609
1995-04-01,5.988023971247647,26.00772222,,17.3795
1995-05-01,6.163021873250729,25.84928571,,17.29347826
1995-06-01,6.534653470971508,25.6742381,,16.19136364
1995-07-01,6.286836954958486,25.51404762,,15.06619048
1995-08-01,6.8359374756661095,25.71086957,,15.40869565
1995-09-01,7.97665367564564,25.9692381,,15.53333333
1995-10-01,8.171206220251225,25.96536364,,14.86727273
1995-11-01,8.36575873516665,26.16705263,,15.73590909
1995-12-01,8.155339801567374,26.20595,,17.17333333
1996-01-01,9.541984734269482,26.21163636,,16.71521739
1996-02-01,9.28030304535663,26.1587619,,16.00190476
1996-03-01,9.451795840991695,26.19566667,,16.96714286
1996-04-01,9.416195856549091,26.18968421,,17.65681818
1996-05-01,9.176029977103472,26.17585714,,16.91826087
1996-06-01,8.92193308497462,26.19442105,,17.314
1996-07-01,8.687615510221347,26.19954545,,17.72173913
1996-08-01,8.226691054492385,26.19940909,,18.60454545
1996-09-01,6.666666673999155,26.23557143,,20.26571429
1996-10-01,6.654676237913626,26.26930435,,21.63347826
1996-11-01,6.642728912078133,26.26577778,,20.94619048
1996-12-01,7.360861768918903,26.29247368,,21.56590909
1997-01-01,5.400696868048538,26.31731818,,21.41478261
1997-02-01,5.199306748464427,26.34105,,18.887
1997-03-01,5.526770284004612,26.33194737,,18.1747619
1997-04-01,5.163511176938296,26.36422727,,16.76136364
1997-05-01,4.974271013892628,26.3721,,18.48318182
1997-06-01,5.631399321983532,26.3761,,17.26857143
1997-07-01,5.6122449024613275,27.66791304,,17.28304348
1997-08-01,5.405405396348173,29.3305,,17.68809524
1997-09-01,5.743243235231099,32.3945,,17.96181818
1997-10-01,5.902192248952121,34.46386957,,19.06304348
1997-11-01,6.7340067290760475,34.51775,,18.51
1997-12-01,6.521739137646865,37.17063158,,16.35086957
1998-01-01,6.61157024355612,42.661,,13.70318182
1998-02-01,7.742998364316489,40.4143,,12.4365
1998-03-01,8.183306056218775,39.00404545,,11.51272727
1998-04-01,8.674304433578817,38.44215,,12.22772727
1998-05-01,9.803921548092042,39.29710526,,12.75666667
1998-06-01,10.17770597176706,40.39905,,11.91181818
1998-07-01,10.144927530533465,41.78052174,,12.04217391
1998-08-01,10.096153866024604,43.03752381,,12.20619048
1998-09-01,10.223642180546166,43.77590909,,13.08136364
1998-10-01,10.031847128998471,42.88819048,,12.81409091
